anio,delito,cantidad
2018,Portación ilegal de armas de fuego,1873
2018,Robos (excluye los agravados por el resultado de lesiones y/o muertes),415256
2018,Robos agravados por el resultado de lesiones y/o muertes,8821
2018,Siembra y producción de estupefacientes,222
2018,Suicidios (consumados),3902
2018,Tenencia ilegal de armas de fuego,3163
2018,Tenencia o entrega atenuada de estupefacientes,645
2018,Tenencia simple atenuada para uso personal de estupefacientes,28688
2018,Tenencia simple de estupefacientes,8110
2018,Tentativas de hurto,11832
2018,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),29011
2018,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1310
2018,Trata de personas agravado,23
2018,Trata de personas simple,172
2019,Abusos sexuales con acceso carnal (violaciones),5544
2019,Acopio y fabricación ilegal de armas piezas y municiones,63
2019,Amenazas,185685
2019,Comercialización y entrega de estupefacientes,6634
2019,Confabulación de estupefacientes,107
2019,Contrabando Agravado,224
2019,Contrabando Simple,25805
2019,Contrabando de elementos nucleares agresivos químicos armas y municiones,20
2019,Contrabando de estupefacientes,560
2019,Contravenciones,148812
2019,Delitos contra el estado civil,121
2019,Delitos contra el honor,699
2019,Delitos contra el orden económico y financiero,353
