anio,delito,cantidad
2023,Delito 22_7,29810.0
2024,Delito 22_7,15562.0
2000,Delito 23,1558.0
2001,Delito 23,4734.0
2002,Delito 23,1241.0
2003,Delito 23,987.0
2004,Delito 23,1350.0
2005,Delito 23,1371.0
2006,Delito 23,1457.0
2007,Delito 23,1815.0
2008,Delito 23,2126.0
2009,Delito 23,1404.0
2010,Delito 23,1249.0
2011,Delito 23,1271.0
2012,Delito 23,5001.0
2013,Delito 23,6870.0
2014,Delito 23,15185.0
2015,Delito 23,12187.0
2016,Delito 23,9160.0
2017,Delito 23,9109.0
2018,Delito 23,7264.0
2019,Delito 23,5376.0
2020,Delito 23,4006.0
2021,Delito 23,3528.0
2022,Delito 23,3139.0
2023,Delito 23,3628.0
2024,Delito 23,2026.0
2000,Delito 24,34.0
2001,Delito 24,34.0
2002,Delito 24,59.0
2003,Delito 24,56.0
2004,Delito 24,61.0
2005,Delito 24,37.0
2006,Delito 24,25.0
2007,Delito 24,112.0
2008,Delito 24,36.0
2009,Delito 24,41.0
2010,Delito 24,33.0
2011,Delito 24,45.0
2012,Delito 24,442.0
2013,Delito 24,88.0
2014,Delito 24,93.0
2015,Delito 24,230.0
2016,Delito 24,80.0
2017,Delito 24,45.0
2018,Delito 24,86.0
2019,Delito 24,116.0
2020,Delito 24,690.0
2021,Delito 24,112.0
2022,Delito 24,56.0
2023,Delito 24,13.0
2024,Delito 24,68.0
2000,Delito 25,85.0
2001,Delito 25,110.0
2002,Delito 25,159.0
2003,Delito 25,135.0
2004,Delito 25,140.0
2005,Delito 25,120.0
2006,Delito 25,184.0
2007,Delito 25,767.0
2008,Delito 25,144.0
2009,Delito 25,164.0
2010,Delito 25,157.0
2011,Delito 25,152.0
2012,Delito 25,119.0
2013,Delito 25,192.0
2014,Delito 25,585.0
2015,Delito 25,389.0
2016,Delito 25,421.0
2017,Delito 25,628.0
2018,Delito 25,930.0
2019,Delito 25,1321.0
2020,Delito 25,969.0
2021,Delito 25,700.0
2022,Delito 25,308.0
2023,Delito 25,130.0
2024,Delito 25,118.0
2000,Delito 26,10110.0
2001,Delito 26,11662.0
2002,Delito 26,12330.0
2003,Delito 26,13127.0
2004,Delito 26,13531.0
2005,Delito 26,13891.0
2006,Delito 26,14740.0
2007,Delito 26,13258.0
2008,Delito 26,16101.0
2009,Delito 26,23537.0
2010,Delito 26,23866.0
2011,Delito 26,24492.0
2012,Delito 26,27595.0
2013,Delito 26,30417.0
2014,Delito 26,28374.0
2015,Delito 26,32791.0
2016,Delito 26,37305.0
2017,Delito 26,44104.0
2018,Delito 26,41892.0
2019,Delito 26,42224.0
2020,Delito 26,60453.0
2021,Delito 26,49605.0
2022,Delito 26,39550.0
2023,Delito 26,42856.0
2024,Delito 26,49942.0
2000,Delito 27,5868.0
2001,Delito 27,5387.0
2002,Delito 27,5495.0
2003,Delito 27,5000.0
2004,Delito 27,4989.0
2005,Delito 27,5428.0
2006,Delito 27,5039.0
2007,Delito 27,4249.0
